# Auto-generated by scripts/build_char_frequency_from_wordlists.py
# Format: <char>\t<weight>  (corpus count + general-rank bonus)
鬓	13
鳜	13
鹄	13
龄	13
乖	12
估	12
倦	12
凫	12
刮	12
否	12
啼	12
妈	12
嫉	12
帝	12
幸	12
庐	12
店	12
捞	12
掷	12
摆	12
旅	12
暇	12
栅	12
栋	12
棕	12
棘	12
概	12
沃	12
沾	12
渺	12
湿	12
熙	12
熬	12
爵	12
狠	12
猛	12
献	12
瑶	12
璃	12
疆	12
盔	12
瞻	12
砺	12
硕	12
碌	12
碍	12
秘	12
窃	12
签	12
篇	12
羁	12
肾	12
胃	12
脾	12
腔	12
膝	12
苓	12
茯	12
菌	12
菲	12
蒡	12
蒲	12
蚌	12
蛙	12
蛮	12
蜡	12
衔	12
袅	12
轩	12
轰	12
迩	12
迫	12
递	12
酮	12
锣	12
韬	12
魔	12
仆	11
仲	11
伪	11
伴	11
侯	11
免	11
兢	11
兹	11
冒	11
冥	11
凝	11
凰	11
剪	11
副	11
励	11
卯	11
吾	11
咕	11
啦	11
啸	11
喻	11
嘉	11
埃	11
埋	11
堡	11
夸	11
嫩	11
审	11
宴	11
寂	11
寝	11
岩	11
岭	11
巾	11
帽	11
庄	11
弗	11
惶	11
慧	11
懂	11
戊	11
戟	11
扎	11
抵	11
挞	11
捐	11
掉	11
揽	11
搔	11
敛	11
昔	11
暑	11
杆	11
杳	11
柯	11
椅	11
欣	11
氏	11
氦	11
氮	11
氯	11
氽	11
沟	11
洲	11
浸	11
涌	11
渝	11
湘	11
滔	11
滥	11
漂	11
炙	11
烁	11
牧	11
瑟	11
瓮	11
睡	11
矫	11
禄	11
禽	11
箕	11
糠	11
练	11
聋	11
肪	11
膜	11
萃	11
萍	11
萤	11
葵	11
蔓	11
蛾	11
蜇	11
袍	11
览	11
诊	11
谁	11
豁	11
豇	11
豺	11
贡	11
贷	11
贾	11
赋	11
踏	11
踞	11
辑	11
逾	11
铭	11
镶	11
陶	11
隆	11
霸	11
靠	11
鞍	11
韩	11
顽	11
颈	11
饰	11
馆	11
髓	11
鲸	11
鹊	11
麒	11
乾	10
伍	10
佩	10
侃	10
凄	10
凯	10
卢	10
厘	10
咬	10
咽	10
哉	10
唐	10
嘲	10
壤	10
奈	10
奴	10
妖	10
孩	10
宅	10
宋	10
屡	10
帆	10
帚	10
彰	10
恢	10
惺	10
懒	10
戒	10
扮	10
抑	10
挖	10
掠	10
掣	10
摘	10
撕	10
攒	10
斧	10
旱	10
旺	10
晒	10
晓	10
柑	10
柜	10
桌	10
档	10
梗	10
植	10
椎	10
榄	10
泄	10
溢	10
炼	10
牡	10
牢	10
犊	10
琶	10
瓶	10
皂	10
皓	10
盟	10
瞒	10
瞬	10
秒	10
税	10
稽	10
笃	10
缚	10
耸	10
肯	10
脏	10
腩	10
